#bodytypes																																						
Id	ActorId	CreatureClass	Eccolapse	MutateBodyTypeId	Health	PainThresholdLimit	PainThresholdRegen	MeleeDamage	ResistSheet	WoundSlots	BaseActionPoints	MeleeAccuracy	RangeAccuracy	Dodge	MeleeThrowbackChance	ReceiveAmputationChance	ReceiveWoundChanceMult	AttackWoundChanceMult	QuazimorphosisReward	ScaleQuasimorphStats	IgnoreThrowback	HasInventoryWeaponSlots	HasInventoryEquipmentSlots	DeathExplosionRadius	DeathExplosionDamageType	DeathExplosionDamage	Immunity	Immobile	CanFly	HairTypesList	HairColorsList	OverrideBareHandWeapon	WeaponRandomConditionCapacity					
centaurposman	possessed_centaur	Quasimorph	FALSE		80	20	1	blunt 2 4 crit 2.00 critchance 0.2	blunt 8 pierce 8 lacer 8 fire 0 cold 0 poison 0 shock 0 beam 0	HumanHead CentaurShoulder CentaurArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	2	0.4	0.2	0.15	0.5	0.25	1	1	15	TRUE	FALSE	TRUE	TRUE					FALSE	FALSE				FALSE					
cattarambaron	qmorph_cattaram_baron	QuasimorphBaron	FALSE		120	900	1	blunt 26 36 crit 2.00 critchance 0.25	blunt 0 pierce 102 lacer 102 fire 102 cold 0 poison 0 shock 0 beam 108	CattaramHead CattaramThigh CattaramShoulder CattaramArm CattaramChest CattaramStomach CattaramBody CattaramFeet CattaramKnee	2	0.35	0.35	0.2	0.3	0.01	0.5	1	0	TRUE	TRUE	TRUE	FALSE					FALSE	FALSE				FALSE					
cattaramknight	qmorph_cattaram_knight	Quasimorph	FALSE		70	100	1	blunt 18 24 crit 1.85 critchance 0.2	blunt 0 pierce 62 lacer 62 fire 62 cold 0 poison 0 shock 0 beam 72	CattaramDogHead CattaramThigh CattaramShoulder CattaramArm CattaramChest CattaramStomach CattaramBody CattaramFeet CattaramKnee	1	0.25	0.3	0.15	0.3	0.01	0.75	1	25	TRUE	FALSE	TRUE	FALSE					FALSE	FALSE				FALSE					
cattaramservitor	qmorph_cattaram_servitor	Quasimorph	FALSE		50	100	1	blunt 14 18 crit 1.85 critchance 0.2	blunt 0 pierce 40 lacer 40 fire 40 cold 0 poison 0 shock 0 beam 50	CattaramDogHead CattaramThigh CattaramShoulder CattaramArm CattaramChest CattaramStomach CattaramBody CattaramFeet CattaramKnee	1	0.25	0.25	0.15	0.3	0.05	1	1	15	TRUE	FALSE	TRUE	FALSE					FALSE	FALSE				FALSE					
cyborg	cyborg_civil	Cyborg	FALSE		80	100	10	blunt 2 4 crit 1.85 critchance 0.15	blunt 0 pierce 20 lacer 20 fire 90 cold 60 poison 90 shock 20 beam 20	CyborgHead CyborgShoulder CyborgArm CyborgThigh CyborgFeet CyborgChest CyborgBody CyborgKnee	1	0.15	0.2	0.05	0.2	0.1	1	1	0	FALSE	FALSE	TRUE	TRUE					FALSE	FALSE				FALSE					
cyborgbattle	cyborg_battle	Cyborg	FALSE		100	100	10	blunt 2 4 crit 2.05 critchance 0.2	blunt 21 pierce 5 lacer 10 fire 90 cold 40 poison 90 shock 20 beam 20	BattleCyborgHead BattleCyborgShoulder BattleCyborgArm BattleCyborgThigh BattleCyborgFeet BattleCyborgChest BattleCyborgBody BattleCyborgKnee	2	0.15	0.2	0.05	0.2	0.1	1	1	0	FALSE	FALSE	TRUE	TRUE					FALSE	FALSE				FALSE					
cyborgrecreation	cyborg_recreation	Cyborg	FALSE		80	100	10	blunt 2 4 crit 2.00 critchance 0.4	blunt 20 pierce 20 lacer 20 fire 90 cold 50 poison 90 shock 10 beam 0	RecreationCyborgHead RecreationCyborgShoulder RecreationCyborgArm RecreationCyborgThigh RecreationCyborgFeet RecreationCyborgChest RecreationCyborgBody RecreationCyborgKnee	2	0.2	0.15	0.2	0.2	0.1	1	1	0	FALSE	FALSE	TRUE	TRUE					FALSE	FALSE				FALSE					
flyingdrone	flying_drone	Cyborg	FALSE		30	100	10	blunt 2 4 crit 2.00 critchance 0.4	blunt 0 pierce 10 lacer 10 fire 50 cold 40 poison 90 shock 0 beam 0	DroneHead DroneShoulder DroneFeet DroneStomach DroneKnee	2	0.05	0.1	0.25	0.2	0.1	1	1	0	FALSE	FALSE	TRUE	FALSE					FALSE	TRUE				FALSE					
cargodrone	cargo_drone	Cyborg	FALSE		50	100	10	blunt 2 4 crit 2.00 critchance 0.4	blunt 40 pierce 15 lacer 15 fire 60 cold 60 poison 90 shock 0 beam 0	DroneHead DroneStomach CargoDroneArm CargoDroneShoulder CargoDroneKnee	1	0.1	0	0.15	0.2	0.1	1	1	0	FALSE	FALSE	TRUE	FALSE					FALSE	FALSE			nature_cargodrone_pitchfork	FALSE					
empturret	turret_emp	Cyborg	FALSE		80	100	10	blunt 5 6 crit 1.15 critchance 0.2	blunt 40 pierce 40 lacer 20 fire 90 cold 20 poison 90 shock 0 beam 20	TurretHead TurretFeet TurretBody	1	0.3	0.2	0.1	0.2	0	1	1	0	FALSE	TRUE	TRUE	FALSE					TRUE	FALSE				FALSE					
energyturret	turret_energy	Cyborg	FALSE		80	100	10	blunt 5 6 crit 1.15 critchance 0.2	blunt 40 pierce 40 lacer 20 fire 90 cold 20 poison 90 shock 0 beam 20	TurretLaserArm TurretHead TurretFeet TurretBody	1	0.3	0.2	0.1	0.2	0	1	1	0	FALSE	TRUE	TRUE	FALSE					TRUE	FALSE				TRUE					
fireturret	turret_firethrower	Cyborg	FALSE		80	100	10	blunt 5 6 crit 1.15 critchance 0.2	blunt 40 pierce 40 lacer 20 fire 90 cold 20 poison 90 shock 0 beam 20	TurretFireArm TurretHead TurretFeet TurretBody	1	0.3	0.2	0.1	0.2	0	1	1	0	FALSE	TRUE	TRUE	FALSE					TRUE	FALSE				TRUE					
turret	turret_firearm	Cyborg	FALSE		80	100	10	blunt 5 6 crit 1.15 critchance 0.2	blunt 40 pierce 40 lacer 20 fire 90 cold 20 poison 90 shock 0 beam 20	TurretBulletsArm TurretHead TurretFeet TurretBody	1	0.3	0.2	0.1	0.2	0	1	1	0	FALSE	TRUE	TRUE	FALSE					TRUE	FALSE				TRUE					
marsbaron	qmorph_mars_baron	QuasimorphBaron	FALSE		120	900	1	blunt 20 28 crit 1.5 critchance 0.2	blunt 90 pierce 90 lacer 90 fire 120 cold 0 poison 0 shock 0 beam 0	MarsShoulder MarsArm MarsChest MarsKnee MarsBaronHead MarsBaronThigh MarsBaronFeet MarsBaronStomach MarsBaronBody	2	0.35	0.35	0.2	0.3	0.05	0.5	1	0	TRUE	TRUE	TRUE	FALSE					FALSE	FALSE				FALSE					
marsbattle	qmorph_mars_battle	Quasimorph	FALSE		70	100	1	blunt 20 28 crit 1.85 critchance 0.2	blunt 40 pierce 40 lacer 40 fire 100 cold 0 poison 0 shock 0 beam 0	MarsGunHead MarsFeet MarsThigh MarsShoulder MarsArm MarsBody MarsChest MarsKnee	2	0.25	0.3	0.15	0.3	0.15	1	1	25	TRUE	FALSE	TRUE	FALSE					FALSE	FALSE			nature_mars_headgun	FALSE					
marsflame	qmorph_mars_battle	Quasimorph	FALSE		70	100	1	blunt 20 28 crit 1.85 critchance 0.2	blunt 40 pierce 40 lacer 40 fire 100 cold 0 poison 0 shock 0 beam 0	MarsFiretrowerHead MarsFeet MarsThigh MarsShoulder MarsArm MarsBody MarsChest MarsKnee	2	0.25	0.3	0.15	0.3	0.15	1	1	25	TRUE	FALSE	TRUE	FALSE					FALSE	FALSE			nature_mars_flamehead	FALSE					
marscrab	qmorph_mars_crab	Quasimorph	FALSE		40	45	1	blunt 14 18 crit 1.85 critchance 0.2	blunt 68 pierce 68 lacer 68 fire 120 cold 0 poison 0 shock 0 beam 0	MarsCrabShoulder MarsCrabArm MarsCrabHead MarsCrabStomach MarsFeet MarsThigh	2	0.25	0.2	0.15	0.3	0.15	1	1	15	TRUE	FALSE	TRUE	FALSE					FALSE	FALSE				FALSE					
marssupport	qmorph_mars_support	Quasimorph	FALSE		50	100	1	blunt 14 18 crit 1.85 critchance 0.2	blunt 40 pierce 40 lacer 40 fire 100 cold 0 poison 0 shock 0 beam 0	MarsBaronHead MarsFeet MarsThigh MarsShoulder MarsBody MarsChest MarsKnee	1	0.25	0.25	0.15	0.3	0.15	1	1	15	TRUE	FALSE	TRUE	FALSE					FALSE	FALSE				FALSE					
mercurybaron	qmorph_mercury_baron	QuasimorphBaron	FALSE		120	900	1	blunt 20 28 crit 1.5 critchance 0.2	blunt 0 pierce 44 lacer 56 fire 80 cold 60 poison 0 shock 0 beam 60	MercuryCentralAye MercuryShoulder MercuryArm MercuryChest MercuryBody MercuryStomach	2	0.35	0.35	0.2	0.3	0.05	0.5	1	0	TRUE	TRUE	TRUE	TRUE					FALSE	TRUE				FALSE					
mercuryhead	qmorph_mercury_head	Quasimorph	FALSE		40	45	1	blunt 14 18 crit 1.85 critchance 0.2	blunt 0 pierce 24 lacer 32 fire 40 cold 40 poison 0 shock 0 beam 24	MercuryHead MercuryLeftAye MercuryScroll	3	0.25	0.2	0.15	0.3	0.15	1	1	20	TRUE	FALSE	TRUE	FALSE					FALSE	TRUE				FALSE					
mercuryknight	qmorph_mercury_knight	Quasimorph	FALSE		100	100	1	blunt 20 28 crit 1.85 critchance 0.2	blunt 0 pierce 32 lacer 32 fire 40 cold 40 poison 0 shock 0 beam 32	MercuryHead MercuryRightAye MercuryLeftAye MercuryBottomAye MercuryFeet MercuryKnee MercuryStomach	1	0.25	0.25	0.15	0.3	0.15	1	1	25	TRUE	FALSE	TRUE	TRUE	3	poison	40	poison	FALSE	FALSE				FALSE					
mercuryslave	qmorph_mercury_slave	Quasimorph	FALSE		50	45	1	blunt 14 18 crit 1.85 critchance 0.2	blunt 0 pierce 16 lacer 16 fire 20 cold 20 poison 0 shock 0 beam 16	MercuryCentralAye SkinlessShoulder SkinlessArm MercuryThigh MercuryFeet MercuryChest MercuryBody MercuryStomach MercuryKnee	1	0.25	0.2	0.15	0.3	0.15	1	1	15	TRUE	FALSE	TRUE	TRUE					FALSE	FALSE				FALSE					
moonbaron	qmorph_moon_baron	QuasimorphBaron	FALSE		200	900	1	blunt 26 32 crit 1.5 critchance 0.2	blunt 70 pierce 12 lacer 70 fire 80 cold 0 poison 0 shock 60 beam 0	MoonHead MoonStomach MoonShoulder MoonThigh MoonChest MoonBody MoonKnee MoonFeet MoonArm	2	0.35	0.3	0.1	0.6	0.05	0.5	1	0	TRUE	TRUE	TRUE	TRUE					FALSE	FALSE			moon_fist_1	FALSE					
mooncage	qmorph_moon_cage	Quasimorph	FALSE		70	100	1	blunt 16 24 crit 1.45 critchance 0.2	blunt 60 pierce 40 lacer 60 fire 70 cold 0 poison 0 shock 40 beam 0	MoonHead MoonUpperMechanism MoonStomach MoonCarapace MoonLowerMechanism MoonBasement	1	0.3	0.25	0.25	0.25	0.15	1	1	25	TRUE	FALSE	TRUE	FALSE					FALSE	FALSE				FALSE					
moonknight	qmorph_moon_knight	Quasimorph	FALSE		60	100	1	pierce 20 28 crit 1.85 critchance 0.2	blunt 44 pierce 0 lacer 44 fire 56 cold 0 poison 0 shock 38 beam 0	MoonHead MoonStomach MoonShoulder MoonThorn MoonThigh MoonWheel MoonChest MoonBody MoonKnee	3	0.3	0.25	0.25	0.25	0.15	1	1	20	TRUE	FALSE	TRUE	FALSE					FALSE	FALSE				FALSE					
moonservitor	qmorph_moon_servitor	Quasimorph	FALSE		50	45	1	blunt 16 24 crit 1.45 critchance 0.2	blunt 26 pierce 12 lacer 26 fire 40 cold 0 poison 0 shock 24 beam 0	MoonHead MoonStomach MoonShoulder MoonThigh MoonChest MoonBody MoonKnee MoonFeet MoonArm	1	0.3	0.15	0.25	0.25	0.15	1	1	20	TRUE	FALSE	TRUE	TRUE					FALSE	FALSE				FALSE					
moonslave	qmorph_moon_slave	Quasimorph	FALSE		40	45	1	blunt 14 18 crit 1.85 critchance 0.2	blunt 20 pierce 0 lacer 20 fire 30 cold 0 poison 0 shock 30 beam 0	MoonThigh MoonChest MoonBody MoonKnee MoonFeet MoonStomach	2	0.25	0.15	0.25	0.2	0.15	1	1	15	TRUE	FALSE	TRUE	FALSE					FALSE	FALSE			nature_moonslave_thorn	FALSE					
ronbaron	qmorph_ron_baron	QuasimorphBaron	FALSE		140	900	1	blunt 20 28 crit 1.5 critchance 0.2	blunt 90 pierce 0 lacer 0 fire 0 cold 0 poison 90 shock 90 beam 90	RonHead RonCarapace RonKnifeArm RonStomach RonBody	2	0.35	0.35	0.2	0.3	0.05	0.5	1	0	TRUE	TRUE	TRUE	FALSE					FALSE	FALSE				FALSE					
ronknight	qmorph_ron_knight	Quasimorph	FALSE		90	100	1	blunt 18 24 crit 1.85 critchance 0.2	blunt 56 pierce 0 lacer 0 fire 0 cold 0 poison 56 shock 56 beam 56	RonHead RonCarapace RonTentacle RonStomach	1	0.25	0.3	0.15	0.3	0.15	0.75	1	25	TRUE	FALSE	TRUE	FALSE					FALSE	FALSE				FALSE					
ronslave	qmorph_ron_slave	Quasimorph	FALSE		70	100	1	blunt 14 18 crit 1.85 critchance 0.2	blunt 36 pierce 0 lacer 0 fire 0 cold 0 poison 36 shock 36 beam 36	RonHead RonCarapace RonTentacle RonStomach	1	0.25	0.25	0.15	0.3	0.2	1	1	15	TRUE	FALSE	TRUE	FALSE					FALSE	FALSE				FALSE					
flaurosbaron	qmorph_flauros_baron	QuasimorphBaron	FALSE		110	900	1	lacer 20 28 crit 2.20 critchance 0.25	blunt 0 pierce 95 lacer 0 fire 0 cold 95 poison 95 shock 0 beam 95	ScrivnusHead ScrivnusThigh ScrivnusShoulder ScrivnusArm ScrivnusChest ScrivnusStomach ScrivnusBody ScrivnusFeet ScrivnusKnee	2	0.35	0.35	0.2	0.3	0.05	0.5	1	0	TRUE	TRUE	TRUE	FALSE					FALSE	FALSE				FALSE					
flaurosknight	qmorph_flauros_knight	Quasimorph	FALSE		60	100	1	lacer 18 24 crit 1.85 critchance 0.2	blunt 0 pierce 66 lacer 0 fire 0 cold 66 poison 66 shock 0 beam 66	ScrivnusHead ScrivnusThigh ScrivnusShoulder ScrivnusArm ScrivnusChest ScrivnusStomach ScrivnusBody ScrivnusFeet ScrivnusKnee	2	0.25	0.3	0.15	0.3	0.1	0.75	1	25	TRUE	FALSE	TRUE	FALSE					FALSE	FALSE				FALSE					
flaurosservitor	qmorph_flauros_servitor	Quasimorph	FALSE		40	100	1	lacer 16 20 crit 1.85 critchance 0.2	blunt 0 pierce 44 lacer 0 fire 0 cold 44 poison 44 shock 0 beam 44	ScrivnusHead ScrivnusThigh ScrivnusShoulder ScrivnusArm ScrivnusChest ScrivnusStomach ScrivnusBody ScrivnusFeet ScrivnusKnee	2	0.25	0.25	0.15	0.3	0.15	1	1	15	TRUE	FALSE	TRUE	FALSE					FALSE	FALSE				FALSE					
scrivnusbaron	qmorph_scrivnus_baron	QuasimorphBaron	FALSE		110	900	1	lacer 20 28 crit 2.20 critchance 0.25	blunt 96 pierce 96 lacer 0 fire 106 cold 96 poison 0 shock 0 beam 0	ScrivnusHead ScrivnusThigh ScrivnusShoulder ScrivnusBladeArm ScrivnusChest ScrivnusStomach ScrivnusBody ScrivnusFeet ScrivnusKnee	2	0.35	0.35	0.2	0.3	0.05	0.5	1	0	TRUE	TRUE	TRUE	FALSE					FALSE	FALSE				FALSE					
scrivnusknight	qmorph_scrivnus_knight	Quasimorph	FALSE		60	100	1	lacer 18 24 crit 1.85 critchance 0.2	blunt 48 pierce 48 lacer 0 fire 54 cold 48 poison 0 shock 0 beam 0	ScrivnusHead ScrivnusThigh ScrivnusShoulder ScrivnusArm ScrivnusChest ScrivnusStomach ScrivnusBody ScrivnusFeet ScrivnusKnee	2	0.25	0.3	0.15	0.3	0.1	0.75	1	25	TRUE	FALSE	TRUE	FALSE					FALSE	FALSE				FALSE					
scrivnusservitor	qmorph_scrivnus_servitor	Quasimorph	FALSE		40	100	1	lacer 16 20 crit 1.85 critchance 0.2	blunt 32 pierce 32 lacer 0 fire 40 cold 32 poison 0 shock 0 beam 0	ScrivnusHead ScrivnusThigh ScrivnusShoulder ScrivnusArm ScrivnusChest ScrivnusStomach ScrivnusBody ScrivnusFeet ScrivnusKnee	2	0.25	0.25	0.15	0.3	0.15	1	1	15	TRUE	FALSE	TRUE	FALSE					FALSE	FALSE				FALSE					
spider	fauna_spider	Fauna	FALSE		20	5	1	poison 2 2 crit 1.70 critchance 0.2	blunt 0 pierce 0 lacer 0 fire 0 cold 0 poison 0 shock 0 beam 0	SpiderHead SpiderBody SpiderFeet SpiderKnee SpiderStomach SpiderThigh	4	0.1	0.15	0.3	0	0.4	1	1	5	FALSE	FALSE	TRUE	FALSE				poison	FALSE	FALSE			nature_spider_fist	FALSE					
urparpboss	qmorph_mars_urparp	Quasimorph	FALSE		300	900	1	blunt 20 28 crit 1.85 critchance 0.2	blunt 100 pierce 100 lacer 100 fire 100 cold 40 poison 60 shock 40 beam 35	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	2	0.35	0.35	0.2	0.3	0.05	0.5	1	0	TRUE	TRUE	TRUE	FALSE					TRUE	FALSE				FALSE					
venusdemoncat	qmorph_venus_cat	Quasimorph	FALSE		50	100	1	blunt 2 2 crit 1.85 critchance 0.2	blunt 16 pierce 4 lacer 4 fire 0 cold 16 poison 50 shock 0 beam 16	VenusCatHead VenusCatFeet VenusCatSting VenusBody VenusStomach VenusThigh VenusKnee	2	0.35	0.2	0.2	0.2	0.15	1	1	20	TRUE	FALSE	TRUE	FALSE					FALSE	FALSE			nature_venusdemoncat_fist	FALSE					
venusdemonspider	qmorph_venus_baron	QuasimorphBaron	FALSE		240	900	1	blunt 20 28 crit 1.5 critchance 0.2	blunt 40 pierce 8 lacer 8 fire 12 cold 40 poison 80 shock 0 beam 40	VenusHead VenusSpiderThigh VenusSpiderFeet VenusSpiderKnee VenusShoulder VenusArm VenusChest VenusStomach VenusBody	2	0.35	0.2	0.1	0.2	0.05	0.05	1	0	TRUE	TRUE	TRUE	TRUE					FALSE	FALSE				FALSE					
venusdemonwarrior	qmorph_venus_knight	QuasimorphBaron	FALSE		105	100	1	blunt 16 20 crit 1.4 critchance 0.2	blunt 36 pierce 0 lacer 0 fire 0 cold 36 poison 50 shock 0 beam 36	VenusHead VenusCatFeet VenusWarShoulder VenusWarArm VenusChest VenusStomach VenusBody VenusThigh VenusKnee	1	0.35	0.2	0.1	0.6	0.2	1	1	25	TRUE	TRUE	TRUE	TRUE					FALSE	FALSE				FALSE					
merc_illusion_male	human_male	Illusion	FALSE		100	999	1	blunt 8 18 crit 1.60 critchance 0.2	blunt 0 pierce 0 lacer 0 fire 0 cold 0 poison 0 shock 0 beam 0	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	2	0.35	0.55	0.15	0.1	0	0	1	0	FALSE	FALSE	TRUE	TRUE					FALSE	FALSE				FALSE					
merc_illusion_female	human_female	Illusion	FALSE		100	999	1	blunt 8 18 crit 1.60 critchance 0.2	blunt 0 pierce 0 lacer 0 fire 0 cold 0 poison 0 shock 0 beam 0	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	2	0.35	0.55	0.15	0.1	0	0	1	0	FALSE	FALSE	TRUE	TRUE					FALSE	FALSE				FALSE					
dog	fauna_dog	Fauna	TRUE		25	6	1	pierce 6 10 crit 1.80 critchance 0.15	blunt 0 pierce 0 lacer 0 fire 0 cold 0 poison 0 shock 0 beam 0	DogHead DogChest DogFeet DogKnee DogStomach DogThigh	3	0.2	0	0.3	0.3	0.4	1	1	5	FALSE	FALSE	TRUE	FALSE					FALSE	FALSE			nature_dog_bite	FALSE					
prometheus	qmorph_prometheus	QuasimorphBaron	FALSE		250	900	1	lacer 20 28 crit 2.20 critchance 0.25	blunt 96 pierce 96 lacer 42 fire 106 cold 96 poison 42 shock 42 beam 42	ScrivnusHead ScrivnusThigh ScrivnusShoulder ScrivnusArm ScrivnusChest ScrivnusStomach ScrivnusBody ScrivnusFeet ScrivnusKnee	2	0.35	0.35	0.2	0.3	0.05	0.25	1	0	TRUE	TRUE	TRUE	FALSE					FALSE	FALSE				FALSE					
#end																																						
																																						
#mobclasses																																						
Id	BodyTypes	PortraitId	VoiceBank	AiPresetId	EquipmentTechLevelBonus	ItemCategoriesWhitelist	ItemConditionPercent	PrimaryWeapon	SecondaryWeapon	Head	Armor	Leggings	Boots	AdditAmmo	AdditItemCount	AdditItemClasses	GrantedItems	Los	HealthMod	PainLimitMod	PainRegenMod	MeleeDamageMod	ResistMod	MeleeAccuracyMod	RangeAccuracyMod	DodgeMod	ActionPointsMod	MutateBonusChance	AdditImmunity	AllowEccolapse	AllowMutate	DefaultItemFactionTag	AugCount	AugmentationClasses	ImplantCount	ImplantClasses	GrantedAugmentations	GrantedImplants
warden	man woman		class_police	human_military	0	Warden 4 Faction 12 Military 3 Security 2 Common 1 CyberAug 3	40 80	Pistol 6 Smg 8 Shotgun 1 Club 4 Fist 4	None 12 Club 11 Fist 11 Knife 4	Cloth 3 LightArmor 3 MediumArmor 10 HeavyArmor 8 PowerArmor 5	Cloth 1 LightArmor 3 MediumArmor 10 HeavyArmor 8 PowerArmor 5	Cloth 1 LightArmor 3 MediumArmor 10 HeavyArmor 8 PowerArmor 5	Cloth 1 LightArmor 3 MediumArmor 10 HeavyArmor 8 PowerArmor 5	5 10	0 2	Grenade 1 Vest 8 Backpack 12 Pills 1 Syringe 1 Parts 1 Food 5 Drink 5 Alcohol 3 MilitaryBarter 1 Turret 1		6	20	4	0	0 0 -0.2 0.10	blunt 8	0.10	0.15	0.00	0	0		TRUE	TRUE		0 2	Industrial 8 Drill 8 Combat 5 None 85	0 1	Basic 5 None 95		
